"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Endurance_FSA2015",,,"Worksheet","temp"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","Endurance",,,"Session",""
"Log Date","13.08.2015",,,"Origin Time","3,580","s"
"Log Time","15:55:26",,,"Start Time","3,620","s"
"Sample Rate","100,000","Hz",,"End Time","1914,970","s"
"Duration","1911,350","s",,"Start Distance","8","m"
"Range","No Lap (selection)",,,"End Distance","26586","m"


"Time","GPS Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","","deg","deg","m",""


153.85367762,47.97796830,8.90403783,802.70000000,11.00000000
153.87367762,47.97796830,8.90404349,802.70000000,11.00000000
153.89367762,47.97796830,8.90404915,802.70000000,11.00000000
153.91367762,47.97796830,8.90405481,802.70000000,11.00000000
153.93367762,47.97796807,8.90406070,802.70000000,11.00000000
153.95367762,47.97796773,8.90406670,802.70000000,11.00000000
153.97367762,47.97796739,8.90407270,802.70000000,11.00000000
153.99367762,47.97796705,8.90407870,802.70000000,11.00000000
154.01367762,47.97796671,8.90408470,802.67264476,11.00000000
154.03367762,47.97796660,8.90409048,802.63264476,11.00000000
154.05367762,47.97796660,8.90409616,802.60000000,11.00000000
154.07367762,47.97796660,8.90410184,802.60000000,11.00000000
154.09367762,47.97796660,8.90410752,802.60000000,11.00000000
154.11367762,47.97796660,8.90411320,802.60000000,11.00000000
154.13367762,47.97796660,8.90411932,802.60000000,11.00000000
154.15367762,47.97796660,8.90412564,802.60000000,11.00000000
154.17367762,47.97796660,8.90413196,802.60000000,11.00000000
154.19367762,47.97796660,8.90413828,802.60000000,11.00000000
154.21367762,47.97796660,8.90414460,802.60000000,11.00000000
154.23367762,47.97796660,8.90415070,802.60000000,11.00000000
154.25367762,47.97796660,8.90415670,802.60000000,11.00000000
154.27367762,47.97796660,8.90416270,802.60000000,11.00000000
154.29367762,47.97796660,8.90416870,802.60000000,11.00000000
154.31367762,47.97796660,8.90417470,802.57264476,11.00000000
154.33367762,47.97796660,8.90418094,802.53264476,11.00000000
154.35367762,47.97796660,8.90418728,802.50000000,11.00000000
154.37367762,47.97796660,8.90419362,802.50000000,11.00000000
154.39367762,47.97796660,8.90419996,802.50000000,11.00000000
154.41367762,47.97796660,8.90420630,802.50000000,11.00000000
154.43367762,47.97796660,8.90421264,802.50000000,11.00000000
154.45367762,47.97796660,8.90421898,802.50000000,11.00000000
154.47367762,47.97796660,8.90422532,802.50000000,11.00000000
154.49367762,47.97796660,8.90423166,802.50000000,11.00000000
154.51367762,47.97796660,8.90423800,802.50000000,11.00000000
154.53367762,47.97796683,8.90424455,802.50000000,11.00000000
154.55367762,47.97796717,8.90425121,802.50000000,11.00000000
154.57367762,47.97796751,8.90425787,802.50000000,11.00000000
154.59367762,47.97796785,8.90426453,802.50000000,11.00000000
154.61367762,47.97796819,8.90427119,802.50000000,11.00000000
154.63367762,47.97796830,8.90427785,802.50000000,11.00000000
154.65367762,47.97796830,8.90428451,802.50000000,11.00000000
154.67367762,47.97796830,8.90429117,802.50000000,11.00000000
154.69367762,47.97796830,8.90429783,802.50000000,11.00000000
154.71367762,47.97796830,8.90430449,802.47264476,11.00000000
154.73367762,47.97796830,8.90431117,802.43264476,11.00000000
154.75367762,47.97796830,8.90431785,802.40000000,11.00000000
154.77367762,47.97796830,8.90432453,802.40000000,11.00000000
154.79367762,47.97796830,8.90433121,802.40000000,11.00000000
154.81367762,47.97796830,8.90433789,802.40000000,11.00000000
154.83367762,47.97796830,8.90434432,802.40000000,11.00000000
154.85367762,47.97796830,8.90435064,802.40000000,11.00000000
154.87367762,47.97796830,8.90435696,802.40000000,11.00000000
154.89367762,47.97796830,8.90436328,802.40000000,11.00000000
154.91367762,47.97796830,8.90436960,802.37264476,11.00000000
154.93367762,47.97796853,8.90437570,802.33264476,11.00000000
154.95367762,47.97796887,8.90438170,802.30000000,11.00000000
154.97367762,47.97796921,8.90438770,802.30000000,11.00000000
154.99367762,47.97796955,8.90439370,802.30000000,11.00000000
155.01367762,47.97796989,8.90439970,802.30000000,11.00000000
155.03367762,47.97797000,8.90440570,802.30000000,11.00000000
155.05367762,47.97797000,8.90441170,802.30000000,11.00000000
155.07367762,47.97797000,8.90441770,802.30000000,11.00000000
155.09367762,47.97797000,8.90442370,802.30000000,11.00000000
155.11367762,47.97797000,8.90442970,802.30000000,11.00000000
155.13367762,47.97797000,8.90443548,802.30000000,11.00000000
155.15367762,47.97797000,8.90444116,802.30000000,11.00000000
155.17367762,47.97797000,8.90444684,802.30000000,11.00000000
155.19367762,47.97797000,8.90445252,802.30000000,11.00000000
155.21367762,47.97797000,8.90445820,802.30000000,11.00000000
155.23367762,47.97797000,8.90446364,802.30000000,11.00000000
155.25367762,47.97797000,8.90446896,802.30000000,11.00000000
155.27367762,47.97797000,8.90447428,802.30000000,11.00000000
155.29367762,47.97797000,8.90447960,802.30000000,11.00000000
155.31367762,47.97797000,8.90448492,802.30000000,11.00000000
155.33367762,47.97797022,8.90449025,802.30000000,11.00000000
155.35367762,47.97797054,8.90449559,802.30000000,11.00000000
155.37367762,47.97797086,8.90450093,802.30000000,11.00000000
155.39367762,47.97797118,8.90450627,802.30000000,11.00000000
155.41367762,47.97797150,8.90451161,802.30000000,11.00000000
155.43367762,47.97797160,8.90451649,802.30000000,11.00000000
155.45367762,47.97797160,8.90452115,802.30000000,11.00000000
155.47367762,47.97797160,8.90452581,802.30000000,11.00000000
