"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","AutoX_FSA2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","AutoX",,,"Session",""
"Log Date","12.08.2015",,,"Origin Time","0,000","s"
"Log Time","19:23:36",,,"Start Time","0,000","s"
"Sample Rate","25,000","Hz",,"End Time","268,000","s"
"Duration","268,000","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","2073","m"


"Time","Giga DrivenDistance [m]","Giga VehicleSpeed [km/h]"
"s","m","km/h"


"86,680","5","0,7"
"86,720","5","0,3"
"86,760","5","0,3"
"86,800","5","0,3"
"86,840","5","0,3"
"86,880","5","0,3"
"86,920","5","0,0"
"86,960","5","0,0"
"87,000","5","0,0"
"87,040","5","0,0"
"87,080","5","0,0"
"87,120","5","0,0"
"87,160","5","0,0"
"87,200","5","0,0"
"87,240","5","0,0"
"87,280","5","0,0"
"87,320","5","0,0"
"87,360","5","0,0"
"87,400","5","0,0"
"87,440","5","0,0"
"87,480","5","0,0"
"87,520","5","0,0"
"87,560","5","0,0"
"87,600","5","0,0"
"87,640","5","0,0"
"87,680","5","0,0"
"87,720","5","0,0"
"87,760","5","0,0"
"87,800","5","0,0"
"87,840","5","0,0"
"87,880","5","0,0"
"87,920","5","0,0"
"87,960","5","0,0"
"88,000","5","0,0"
"88,040","5","0,0"
"88,080","5","0,0"
"88,120","5","0,0"
"88,160","5","0,0"
"88,200","5","0,0"
"88,240","5","0,0"
"88,280","5","0,0"
"88,320","5","0,0"
"88,360","5","0,0"
"88,400","5","0,0"
"88,440","5","0,0"
"88,480","5","0,0"
"88,520","5","0,0"
"88,560","5","0,0"
"88,600","5","0,0"
"88,640","5","0,0"
"88,680","5","0,0"
"88,720","5","0,0"
"88,760","5","0,0"
"88,800","5","0,0"
"88,840","5","0,0"
"88,880","5","0,0"
"88,920","5","0,0"
"88,960","5","0,4"
"89,000","5","0,4"
"89,040","5","0,9"
"89,080","5","0,9"
"89,120","5","1,2"
"89,160","5","1,4"
"89,200","5","1,7"
"89,240","5","1,9"
"89,280","5","2,1"
"89,320","5","2,3"
"89,360","5","2,6"
"89,400","5","2,8"
"89,440","5","3,0"
"89,480","6","3,2"
"89,520","6","3,6"
